objectid,filename,title,transliteration,synonym,language,format,description,subject,date,shelfmark,source,link,creative commons,rights,rightsstatement,citation
ccg0001,akce_file.jpg,akçe,اقچه אקגה אקשה,"levanīm, osmānī, aspros",Ottoman Turkish,image/jpeg,"Silver coin minted in the Ottoman Empire first in the reign of Orhan Bey in 1326 CE. By the mid-seventeenth century it was no longer common in circulation and remained more so as a unit of account (Pamuk, 147; Ben Naeh, 29). In Hebrew-language documents levanīm or ""white ones"" was used because the term akçe referenced the Turkish root word ak meaning ""white."" The image for this entry reads ""beş akçe"" (five akçe) in Ottoman Turkish, as part of an official document regarding funds for orphans (eytam).",coin; Ottoman; Medieval and Early Modern,1326,Gaster ar. 102r line 3,John Rylands Library - The University of Manchester,https://luna.manchester.ac.uk/luna/servlet/detail/ManchesterDev~95~2~182297~208796?sort=reference_number%2Cdate_created&qvq=q:gaster%20ar.%20102;sort:reference_number%2Cdate_created;lc:ManchesterDev~95~2&mi=0&trs=2,,Image courtesy of the John Rylands Library and modified in keeping with CC-4.0 International,https://creativecommons.org/licenses/by-nc-sa/4.0/,"►Ben-Naeh, Yaron. <em> Jews in the Realm of the Sultans: Ottoman Jewish Society in the Seventeenth Century </em>. Heidelberg: Mohr Siebeck, 2008. <br>

►Pamuk, Şevket. <em> A Monetary History of the Ottoman Empire </em>. Cambridge: Cambridge University Press, 2000."
ccg0002,arayot_file.jpg,arayōt,אריות,"ebū kalb, esedī kuruş, guruş arayot, arselanī, aslanlı",Hebrew,image/jpeg,"Silver coin minted in the Dutch Republic from 1575-1713CE, known commonly in English as the lion thaler in which the figurative portrayal of a lion led to many related labels in Judaeo-Arabic, Ottoman Turkish, and Hebrew (Pamuk, 99). These years of production are less helpful in dating geniza fragments than others, however, because the terms for this Dutch coinage type remained in use after 1713CE geniza fragments– meaning that the term became synonymous with other currency. Given the presence of lions on the crests in both Spanish and Austrian silver coinage of the eighteenth and nineteenth centuries, silver reales and thalers must also be considered as potential bearers of these labels after the Dutch lion thalers were no longer produced.",coin; Dutch; Early Modern,1575,T-S 20.67r line 31,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0003,ardab_file.jpg,ardab ,إردب ארדב,,Judeo-Arabic,image/jpeg,"Unit of volume in the medieval period that Goitein notes proportionally ""the wayba comprised about 15 liters (approximately 4 gallons) and the irdabb consisted of 6 waybas. [1 irdabb = ~90 liters]"" (Goitein, MS I, 361). Given the nominal similarity of Goitein's reference to irdabb/ardab and the Ottoman-era parallel, it is crucial to note the continuity of this unit's value across the centuries. Accordingly, White observes that in the Ottoman empire an ardab by the sixteenth and seventeenth centuries was ""equal to about 70 kilograms or 90 liters."" (White, xv)",unit of volume; Medieval and Early Modern,,"ENA NS 77.94r line 2 (upper), ENA 3901.3r line 5 (lower)",Jewish Theological Seminary Library,,,Images courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967.

►White, Sam. The Climate of Rebellion in the early modern Ottoman Empire. Cambridge: Cambridge University Press, 2011."
ccg0004,aspros_file.jpg,aspros,אשפרוש,"akçe, levanīm, osmānī","Hebrew, Greek",image/jpeg,"Alternative term in western European languages for the Ottoman akçe which was a silver coin minted in the Ottoman Empire first in the reign of Orhan Bey in 1326 CE that was no longer common in circulation by the mid-seventeenth century yet remained commonly as a unit of account (Pamuk, 147; Ben Naeh, 29). In Hebrew-language documents levanīm or ""white ones"" was used because the term akçe referenced the Turkish root word ""ak"" meaning ""white.""",coin; Ottoman; Medieval and Early Modern,1326,ENA NS 38.12r line 4 ,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Ben-Naeh, Yaron. Jews in the Realm of the Sultans: Ottoman Jewish Society in the Seventeenth Century. Heidelberg: Mohr Siebeck, 2008.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0005,ashrafi_file.jpg,ashrafī ,أشرفي אשרפי,,"Judaeo-Arabic, Arabic",image/jpeg,"Gold coin minted by the Mamluk Sultanate between 1425CE-1517CE, first under Sultan al-Ashraf Barsbay, that was intended to counter the dominance of Venetian ducat in Egypt (Pamuk, 60, 65). At the time of the ashrafi's initial production the Mamluks outlawed the Venetian ducat in their domain and set the standards/exchange rates of this coinage in a strategic manner that would constrain the buying power of Venetian coinage. Along these lines, Bacharach explains ""the weight of the ashrafi was given as equal to the ducat. [However], the weight of the ashrafi, calculated from numismatic evidence, was about 3.41 grams and almost of pure gold. Therefore in a completely free market, the ashrafi should have been worth 97 per cent of the ducat's (3.51 grams) value.... In simpler terms, Basbary's edict made the ashrafi, rather than the ducat, the overvalued coin "" (Bacharach, 88). Although the exact standards of the Mamluk coin ceased to exist with the Ottoman conquest, the Mamluk ashrafi influenced the initial development of the Ottoman-era sherifi, which remained a locally minted Egyptian gold coin until the late 17th century when variety of new gold competitors with the Venetian ducat emerged. As Pamuk notes, ""a number of new gold coins called tugrali, cedid Istanbul, zincirli, findik and zer-i mahbub were initiated between 1697 and 1728. All but the last of these started close to the standards of the ducat (Pamuk,167).",coin; Mamluk; Medieval and Early Modern,1425,"ENA 3932.7r line 2 (upper), ENA NS 52.10 line 24 (lower)",Jewish Theological Seminary Library,,,Images courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Bacharach, Jere L. ""The Diner Versus the Ducat."" International Journal of Middle East Studies 4.1 (1973): 77-96.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0006,ashrafi alzahiri_file.jpg,al-ashrafī al-ẓāhirī,الأشرفي الظاهري,,Arabic,image/jpeg,"A variant of the gold ashrafī minted during the rule of one of the Mamluk sultans who took the regnal name al-Ẓāhir after 1425 CE (the year the coin was first produced). There were five sultans for whom this was the case: Sultan Sayf ad-Din Jaqmaq (reigned 1438-1453 CE), Sultan Sayf ad-Dīn Khushqadam (r. 1461-1467), Sultan Sayf ad-Dīn Bilbay (r.1467), Sultan Timurbugha (r.1467-1468), Sultan Abu Saʿīd Qansuh (r. 1498-1500).",coin; regnal variant; Mamluk; Medieval ,1438,ENA 3977.7r line 14,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,
ccg0007,bahar_file.jpg,bahār ,بهار בהאר,,Judaeo-Arabic,image/jpeg,"Unit of weight that Goitein uncovered in his research on the medieval India traders of the Cairo Geniza, mentioning that: ""the Bahār, a weight of 300 pounds and its twentieth or 1/24 part, the Farāsila, certainly are not Arabic"" (Goitein, India Book Notes, 4C.2.7 page 6). Goitein's suspicion on linguistic etymology has since been confirmed by the linguist Janet Watson's observations on aspects of Yemeni Arabic: ""an example of the metaphorical extension of a term is Ṣanʿānī bahārāt 'spices', which is also found in Standard Arabic and other dialects of Arabic today. The word can be traced back to Hindi bihār 'sack', the standard vessel in which spices were imported, hence the goods came to be referred to metaphorically in terms of the container in which they arrived"" (Watson, 407). Goitein later noted that this unit's value could vary widely, see for example page 344 in the India Book. The unit's value eventually shifted to 11.8 kilograms or 22 lbs 6 oz in nineteenth-century Egypt (Marsot, X).",unit of weight; Medieval and Early Modern,,ENA NS 48.2r line 2,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Goitein, S.D. India Book Notes. 4C.2.7. Goitein's Nachlass. Princeton Geniza Lab.

►Watson, Janet. ""On the linguistic archaeology of Ṣanʿānī Arabic."" in Proceedings of the Seminar for Arabian Studies Vol. 34. Oxford: Archaeopress, 2004. 405-412."
ccg0008,barqalu_file.jpg,barqalū,برقلو ברקלו,,Judaeo-Arabic,image/jpeg,"Unit of weight of the medieval period that Goldberg notes was a ""small bale weighing approximately 100 kg"" (Goldberg, 362). ",unit of weight; Medieval,,ENA 1822a.9v line 2,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Goldberg, Jessica. Trade and Institutions in the Medieval Mediterranean: the Geniza Merchants and their Business World. Cambridge: Cambridge University Press, 2012."
ccg0009,basilikon_file.jpg,basilikon,βασιλικόν,doukaton,Greek,image/jpeg,"Silver coin minted in the Byzantine Empire beginning in 1304 during the reign of Andronicus II (r. 1282-1328 CE) that replaced the silver trachy and was intended to emulate the weight and quality of the Venetian grosso. Along these lines, Grierson notes, ""the basilicon and its fractions represent Andronicus II's major monetary innovation. The basilicon itself was of the same weight and fineness as the Venetian grosso, and resembled this sufficiently for it to be possible for the two to circulate interchangeably"" (Grierson, 295).",coin; Byzantine; Medieval; currently unattested,1304,Currently Unattested in the Cairo Geniza,,,,,,"►Grierson, Philip. Byzantine Coins. Berkeley: Univ of California Press, 1982."
ccg0010,bunduqi_file.jpg,būndūqī,بندقي בונדוקי,"ducat, efrencīye, peraḥīm, flori, ducato, ducado, zecchino, şerīfī bunduk, sequin, ducato d'oro, zecchino","Judaeo-Arabic, Ottoman Turkish, Hebrew",image/jpeg,"Alternative term in the Ottoman empire for gold ducats minted by Venetian Republic or silver grossi (Pamuk, 65, 99; Bacharach, 272). In geniza sources and other documents from the pre-modern eastern Mediterranean great care must be taken not to misidentify the Venetian gold ducat as a Florentine gold florin. While the latter circulated at comparatively lower rates of distribution in the eastern Mediterranean and ceased in production in 1533 CE, the Venetian gold ducat can appear ambiguously in Hebrew as פרחים ""flowers"" or as a direct loanword in other languages with flori which again translates to ""flowers"" in regional variants of Italian (Ibid, 99).",coin; Venetian; Medieval and Early Modern,1284,JRL SERIES C 52v ,John Rylands Library - The University of Manchester,https://luna.manchester.ac.uk/luna/servlet/detail/ManchesterDev~95~2~132044~125263?sort=reference_number%2Cdate_created&qvq=q:c%2052;sort:reference_number%2Cdate_created;lc:ManchesterDev~95~2&mi=3&trs=4,,Image courtesy of the John Rylands Library and modified in keeping with CC-4.0 International,https://creativecommons.org/licenses/by-nc-sa/4.0/,"►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
